City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Vostok,RU,2022-11-18 09:45:03,46.4856,135.8833,24.35,98,100,2.46
106,Yellowknife,CA,2022-11-18 09:45:03,62.456,-114.3525,18.12,86,40,9.22
107,Linxia,CN,2022-11-18 09:45:04,35.6003,103.2064,43.5,54,6,2.19
108,Port-Gentil,GA,2022-11-18 09:45:04,-0.7193,8.7815,84.16,70,40,9.22
109,Barrow,US,2022-11-18 09:45:05,71.2906,-156.7887,33.82,93,100,12.66
110,Port Elizabeth,ZA,2022-11-18 09:45:05,-33.918,25.5701,70.09,68,75,4.61
111,Bandarbeyla,SO,2022-11-18 09:45:06,9.4942,50.8122,82.67,64,5,18.79
112,Upernavik,GL,2022-11-18 09:45:06,72.7868,-56.1549,9.55,82,22,7.52
113,Bojnurd,IR,2022-11-18 09:45:07,37.4747,57.329,55.35,67,20,2.3
114,East London,ZA,2022-11-18 09:45:08,-33.0153,27.9116,74.34,73,40,3.44
115,Butaritari,KI,2022-11-18 09:45:08,3.0707,172.7902,80.82,80,62,11.77
116,Kaitangata,NZ,2022-11-18 09:45:08,-46.2817,169.8464,53.01,98,100,6.33
117,Nelson Bay,AU,2022-11-18 09:45:09,-32.7167,152.15,64.0,79,1,3.0
118,Punta Arenas,CL,2022-11-18 09:44:25,-53.15,-70.9167,48.31,57,75,9.22
119,Chuy,UY,2022-11-18 09:45:09,-33.6971,-53.4616,67.01,66,81,3.58
120,Mahebourg,MU,2022-11-18 09:45:10,-20.4081,57.7,80.89,47,20,9.22
121,Vardo,NO,2022-11-18 09:45:11,70.3705,31.1107,33.78,80,20,6.91
122,Plaster Rock,CA,2022-11-18 09:45:11,46.9065,-67.39,19.92,93,93,8.88
123,Broome,US,2022-11-18 09:45:11,42.2506,-75.833,31.35,74,100,12.66
124,Palmer,US,2022-11-18 09:45:12,42.1584,-72.3287,32.41,75,0,0.0
125,Waitati,NZ,2022-11-18 09:45:12,-45.75,170.5667,55.8,95,100,3.18
126,Paranaiba,BR,2022-11-18 09:45:13,-19.6772,-51.1908,72.1,50,0,7.54
127,Viedma,AR,2022-11-18 09:45:13,-40.8135,-62.9967,67.69,73,100,8.79
128,San Andres,CO,2022-11-18 09:45:14,12.5847,-81.7006,77.02,94,20,4.61
129,Sao Filipe,CV,2022-11-18 09:45:14,14.8961,-24.4956,80.69,66,100,5.84
130,Birjand,IR,2022-11-18 09:40:15,32.8663,59.2211,54.07,82,100,6.91
131,San Jeronimo,PE,2022-11-18 09:45:15,-11.9472,-75.2829,47.71,82,98,1.81
132,Warah,PK,2022-11-18 09:45:16,27.4481,67.7978,86.4,18,2,2.19
133,Pryazha,RU,2022-11-18 09:45:16,61.6926,33.6216,25.83,63,12,7.23
134,San Cristobal,VE,2022-11-18 09:45:17,7.7669,-72.225,65.32,95,100,2.28
135,Thompson,CA,2022-11-18 09:45:18,55.7435,-97.8558,6.96,85,100,9.22
136,Huarmey,PE,2022-11-18 09:46:19,-10.0681,-78.1522,62.76,91,70,3.49
137,Emba,KZ,2022-11-18 09:46:19,48.8264,58.1442,34.03,59,28,12.35
138,Comodoro Rivadavia,AR,2022-11-18 09:46:20,-45.8667,-67.5,64.26,48,0,6.91
139,Talnakh,RU,2022-11-18 09:46:20,69.4865,88.3972,6.21,90,100,33.78
140,Zyryanovsk,KZ,2022-11-18 09:46:21,49.7386,84.2719,13.05,96,57,2.04
141,Komsomolskiy,UZ,2022-11-18 09:46:21,40.4272,71.7189,50.72,50,99,2.3
142,Husavik,IS,2022-11-18 09:46:22,66.0449,-17.3389,43.84,84,100,17.22
143,Arraial Do Cabo,BR,2022-11-18 09:46:22,-22.9661,-42.0278,66.16,88,40,0.0
144,Aklavik,CA,2022-11-18 09:46:23,68.2191,-135.0107,11.64,82,58,6.02
145,Lebu,CL,2022-11-18 09:46:23,-37.6167,-73.65,55.26,96,45,5.99
146,Oga,IT,2022-11-18 09:46:24,46.4631,10.347,38.8,78,99,7.65
147,Les Cayes,HT,2022-11-18 09:46:24,18.2,-73.75,75.04,87,47,3.13
148,Puerto Ayora,EC,2022-11-18 09:46:25,-0.7393,-90.3518,69.55,88,17,4.0
149,Hasaki,JP,2022-11-18 09:46:25,35.7333,140.8333,52.21,58,76,5.75
150,Faanui,PF,2022-11-18 09:46:26,-16.4833,-151.75,78.21,79,100,8.34
151,Atuona,PF,2022-11-18 09:46:26,-9.8,-139.0333,77.45,72,30,12.55
152,Hvide Sande,DK,2022-11-18 09:46:27,56.0045,8.1294,44.37,70,100,27.78
153,Ponta Do Sol,PT,2022-11-18 09:46:27,32.6667,-17.1,69.12,53,74,8.84
154,Nanortalik,GL,2022-11-18 09:46:28,60.1432,-45.2371,23.09,82,97,3.69
155,Bathsheba,BB,2022-11-18 09:46:28,13.2167,-59.5167,81.21,78,40,18.41
156,Alofi,NU,2022-11-18 09:46:29,-19.0595,-169.9187,69.69,94,40,1.14
157,Alyangula,AU,2022-11-18 09:46:29,-13.8483,136.4192,84.92,73,70,13.18
158,Veraval,IN,2022-11-18 09:46:29,20.9,70.3667,84.2,38,1,6.76
159,Dicabisagan,PH,2022-11-18 09:46:30,17.0818,122.4157,78.37,87,51,4.56
160,Flin Flon,CA,2022-11-18 09:46:30,54.7682,-101.865,18.95,85,100,12.53
161,Nome,US,2022-11-18 09:46:31,64.5011,-165.4064,33.87,100,100,8.05
162,Ankang,CN,2022-11-18 09:46:31,32.68,109.0172,57.81,61,100,1.36
163,Acapulco,MX,2022-11-18 09:46:08,16.8634,-99.8901,78.62,78,100,5.75
164,George,ZA,2022-11-18 09:46:32,-33.963,22.4617,65.75,63,40,8.05
165,Borba,BR,2022-11-18 09:46:32,-4.3878,-59.5939,73.13,93,99,2.3
166,Santarem,BR,2022-11-18 09:46:33,-2.4431,-54.7083,73.53,100,0,2.3
167,Tuktoyaktuk,CA,2022-11-18 09:46:33,69.4541,-133.0374,10.29,79,40,7.14
168,Ucluelet,CA,2022-11-18 09:45:17,48.9329,-125.5528,44.1,59,1,6.15
169,Vila Velha,BR,2022-11-18 09:46:35,-20.3297,-40.2925,71.94,80,20,11.99
170,Watertown,US,2022-11-18 09:45:17,42.3709,-71.1828,33.37,72,0,5.75
171,Chokurdakh,RU,2022-11-18 09:46:35,70.6333,147.9167,-8.21,99,99,4.05
172,Parrita,CR,2022-11-18 09:46:36,9.5201,-84.3225,74.25,82,35,4.43
173,Dingle,PH,2022-11-18 09:46:36,10.9995,122.6711,73.96,92,100,8.39
174,Neyshabur,IR,2022-11-18 09:46:37,36.2133,58.7958,54.73,55,100,5.53
175,Banda Aceh,ID,2022-11-18 09:46:37,5.5577,95.3222,82.81,74,98,13.27
176,Seryshevo,RU,2022-11-18 09:46:37,51.0933,128.3786,15.85,95,94,2.08
177,Bursa,TR,2022-11-18 09:46:38,40.1667,29.0833,66.24,40,78,10.42
178,Santa Cruz De La Palma,ES,2022-11-18 09:43:06,28.6835,-17.7642,71.13,88,75,17.27
179,Klaksvik,FO,2022-11-18 09:46:38,62.2266,-6.589,47.32,82,89,34.78
180,Wairoa,NZ,2022-11-18 09:44:30,-39.0333,177.3667,64.54,88,33,1.99
181,Pangnirtung,CA,2022-11-18 09:46:39,66.1451,-65.7125,-3.3,84,37,6.8
182,Kaliua,TZ,2022-11-18 09:46:39,-5.0606,31.7936,71.98,76,96,4.43
183,Alberton,CA,2022-11-18 09:46:40,46.8168,-64.0654,31.91,73,76,21.77
184,Anloga,GH,2022-11-18 09:46:40,5.7947,0.8973,84.25,63,62,4.18
185,Jiamusi,CN,2022-11-18 09:47:41,46.8333,130.35,30.15,68,9,4.76
186,Gayny,RU,2022-11-18 09:47:41,60.3071,54.3241,15.13,77,70,3.22
